"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*04y44*","Josh Jung","TEX","3B","71","W <small>(Wed)</small>","28","@STL Wed 7:45PM","148","2.64","92%","0%"
"*0512e*","Spencer Steer","CIN","1B,OF","78","FA","28","KC Wed 7:10PM","146","2.52","89%","-1%"
"*05yb0*","T.J. Rumfield","COL","1B","77","FA","26","@LAA Wed 9:38PM","146","2.43","61%","-4%"
"*03oh0*","Willson Contreras","BOS","1B","79","W <small>(Wed)</small>","34","BAL Wed 6:45PM","145","2.54","96%","-1%"
"*03pit*","Trent Grisham","NYY","OF","80","FA","29","CLE Wed 7:05PM","145","2.5","84%","-1%"
"*01sy3*","Nolan Arenado","ARI","3B","92","FA","35","LAD Wed 9:40PM","140","2.5","77%","-4%"
"*025gb*","Xander Bogaerts","SD","SS","104","FA","33","@PHI Wed 6:40PM","133","2.33","90%","-2%"
"*05u2v*","Hunter Goodman","COL","C","106","W <small>(Wed)</small>","26","@LAA Wed 9:38PM","131","2.34","99%","0%"
"*03pje*","Taylor Ward","BAL","OF","107","FA","32","@BOS Wed 6:45PM","130","2.17","96%","-1%"
"*02c4q*","Nick Martinez","TB","SP,RP","111","FA","35","DET Wed 1:10PM","128","11.64","91%","0%"
"*041e2*","Mickey Moniak","COL","OF","116","FA","28","@LAA Wed 9:38PM","127","2.95","92%","-2%"
"*04azv*","Jake Burger","TEX","1B","123","FA","30","@STL Wed 7:45PM","125","2.12","78%","-2%"
"*04eej*","Gavin Sheets","SD","1B,OF","127","FA","30","@PHI Wed 6:40PM","125","2.31","66%","-7%"
"*0310z*","J.P. Crawford","SEA","SS","124","FA","31","NYM Wed 3:40PM","125","2.31","56%","-1%"
"*02bq2*","Brandon Nimmo","TEX","OF","130","FA","33","@STL Wed 7:45PM","124","2.1","97%","0%"
"*05m49*","Jung Hoo Lee","SF","OF","129","FA","27","@MIL Wed 7:40PM","124","2.34","70%","-1%"
"*05yaf*","Jacob Young","WSH","OF","134","FA","26","MIA Wed 1:05PM","122","2.03","34%","-1%"
