"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","H/AB","R","1B","2B","3B","HR","RBI","BB","IBB","SO","SB","CS","HBP","CYC","GP"
"*03rmz*","C","Keibert Ruiz","WSH","C","Act","27","MIA Wed 1:05PM","91","2.39","32/119","16","15","12","0","5","26","2","0","19","1","1","1","0","38"
"*051ia*","1B","Spencer Horwitz","PIT","1B","Act","28","@HOU Wed 8:10PM","146","2.56","50/177","24","34","8","1","7","26","30","0","26","1","0","2","0","57"
"*04si3*","2B","Brayan Rocchio","CLE","2B,SS","Act","25","@NYY Wed 7:05PM","155","2.63","56/190","27","42","9","1","4","28","20","0","27","11","4","6","0","59"
"*04pvs*","3B","Blaze Alexander","BAL","2B,3B,SS,OF","Act","26","@BOS Wed 6:45PM","64","1.23","35/128","15","27","6","1","1","15","9","1","36","7","2","1","0","52"
"*050w9*","SS","Gunnar Henderson","BAL","SS","Act","24","@BOS Wed 6:45PM","141","2.35","56/255","31","30","12","1","13","32","17","0","72","6","3","2","0","60"
"*03wha*","OF","Ronald Acuna Jr.","ATL","OF","Act","28","TOR Wed 7:15PM","143","3.04","43/173","28","26","9","1","7","21","34","2","46","12","5","3","0","47"
"*04nb2*","OF","Riley Greene","DET","OF","Act","25","@TB Wed 1:10PM","132","2.13","69/224","32","47","16","0","6","29","32","0","73","1","1","2","0","62"
"*041q8*","OF","Brandon Marsh","PHI","OF","Act","28","SD Wed 6:40PM","125","2.27","64/193","29","47","10","2","5","24","10","1","46","5","2","1","0","55"
"*03zbh*","UT","Fernando Tatis Jr.","SD","2B,OF","Act","27","@PHI Wed 6:40PM","109","1.88","60/218","22","51","7","1","1","18","24","1","53","14","6","2","0","58"
"*0518n*","1B","Vaughn Grissom","LAA","1B,2B","Res","25","COL Wed 9:38PM","90","2.31","31/129","12","18","10","0","3","24","14","0","16","0","0","3","0","39"
"*04p10*","2B","Bryson Stott","PHI","2B","Res","28","SD Wed 6:40PM","116","2.15","40/187","16","24","8","2","6","26","12","0","35","10","0","1","0","54"
"*062cx*","SS","Ethan Holliday","COL","SS","Res","19","@LAA Wed 9:38PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04tjl*","2B","Otto Lopez","MIA","2B,SS","Res","27","@WSH Wed 1:05PM","169","2.73","80/239","34","58","15","2","5","25","10","0","40","10","3","4","0","62"
"*0423c*","UT","Carlos Cortes","ATH","OF","Res","28","@CHC Wed 8:05PM","114","2.38","45/140","14","30","9","1","5","17","19","0","16","1","0","2","0","48"
"*03aqw*","2B","Mauricio Dubon","ATL","2B,3B,SS,OF","Res","31","TOR Wed 7:15PM","109","1.91","52/209","22","35","12","2","3","29","15","0","36","0","3","2","0","57"
"*03nmw*","OF","Ian Happ","CHC","OF","Res","31","ATH Wed 8:05PM","148","2.6","49/216","39","25","10","1","13","31","37","3","82","2","0","3","0","57"
"*066cn*","OF","Wade Meckler","LAA","OF","Res","26","COL Wed 9:38PM","35","3.18","10/31","3","6","2","0","2","10","2","0","4","2","0","0","0","11"
"*05ua7*","OF","Jackson Merrill","SD","OF","Res","23","@PHI Wed 6:40PM","104","1.86","43/210","26","27","11","0","5","21","20","2","59","10","1","1","0","56"
"*04pmu*","UT","Ryan Jeffers","MIN","C","IR","28","CHW Wed 1:40PM","128","3.46","36/122","26","21","7","1","7","26","23","0","23","1","0","1","0","37"
"*05udp*","UT","Elly De La Cruz","CIN","SS","IR","24","KC Wed 7:10PM","170","2.93","65/232","40","38","13","2","12","37","22","0","76","10","5","2","0","58"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","IP","ERA","K","W","L","ER","SV","BS","QS","CG","SHO","NH","PG","GP"
"*04pq4*","SP","Kyle Bradish","BAL","SP","Act","29","@BOS Wed 6:45PM","92.56","7.71","65.1","3.44","65","3","6","25","0","0","5","0","0","0","0","12"
"*04n0m*","SP","Logan Gilbert","SEA","SP","Act","29","NYM Wed 3:40PM","106.31","8.18","73.2","3.79","77","4","4","31","0","0","4","0","0","0","0","13"
"*03poo*","SP","Peter Lambert","HOU","SP","Act","29","PIT Wed 8:10PM","66.96","8.37","45.1","3.77","43","4","4","19","0","0","3","0","0","0","0","8"
"*05y7s*","SP","Nolan McLean","NYM","SP","Act","24","@SEA Wed 3:40PM","106.89","8.91","66.1","4.21","77","3","4","31","0","0","5","0","0","0","0","12"
"*03dau*","RP","Trevor Megill","MIL","RP","Act","32","SF Wed 7:40PM","54.26","2.36","22","4.09","28","0","2","10","8","1","0","0","0","0","0","23"
"*067yn*","SP","Seth Hernandez","PIT","SP","Res","19","@HOU Wed 8:10PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02n4s*","SP","Matthew Boyd","CHC","SP","IR","35","ATH Wed 8:05PM","36.92","7.38","24","6.00","31","2","1","16","0","0","1","0","0","0","0","5"
"*03ql5*","RP","Ryan Helsley","BAL","RP","IR","31","@BOS Wed 6:45PM","42.52","3.54","10.2","2.53","15","0","2","3","7","0","0","0","0","0","0","12"

