Team,ORtg,DRtg,NRtg,Pace
Oklahoma City Thunder*,120.3,107.5,12.8,100.0
Boston Celtics*,120.6,111.1,9.5,95.7
Cleveland Cavaliers*,121.7,112.2,9.5,99.8
Minnesota Timberwolves*,116.6,111.5,5.1,97.3
Los Angeles Clippers*,115.1,110.3,4.8,97.5
Memphis Grizzlies*,117.7,113.0,4.7,103.3
Houston Rockets*,115.3,110.8,4.5,98.6
New York Knicks*,118.5,114.3,4.2,96.7
Denver Nuggets*,119.9,116.0,3.9,99.8
Golden State Warriors*,115.0,111.7,3.3,98.7
Milwaukee Bucks*,115.9,113.4,2.5,99.3
Indiana Pacers*,116.5,114.3,2.2,99.9
Detroit Pistons*,115.0,113.1,1.9,99.8
Los Angeles Lakers*,115.9,114.7,1.2,97.6
Miami Heat*,113.5,112.9,0.6,96.2
Sacramento Kings,116.7,116.2,0.5,98.2
Orlando Magic*,109.4,109.6,-0.2,96.1
Atlanta Hawks,114.6,115.7,-1.1,102.6
Dallas Mavericks,114.8,116.0,-1.2,99.2
Chicago Bulls,114.1,115.6,-1.5,102.8
San Antonio Spurs,114.4,117.2,-2.8,99.3
Portland Trail Blazers,111.7,114.7,-3.0,98.8
Phoenix Suns,116.2,119.3,-3.1,97.1
Toronto Raptors,110.5,114.8,-4.3,99.7
Philadelphia 76ers,111.9,118.2,-6.3,97.4
Brooklyn Nets,108.5,115.8,-7.3,96.4
Utah Jazz,111.2,120.4,-9.2,100.0
Charlotte Hornets,107.3,116.6,-9.3,97.6
New Orleans Pelicans,110.4,119.9,-9.5,99.1
Washington Wizards,106.8,119.1,-12.3,100.9
