Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Team,Unnamed: 2_level_0_Conf,Unnamed: 3_level_0_Div,Unnamed: 4_level_0_W,Unnamed: 5_level_0_L,Unnamed: 6_level_0_W/L%,Unadjusted_MOV,Unadjusted_ORtg,Unadjusted_DRtg,Unadjusted_NRtg,Adjusted_MOV/A,Adjusted_ORtg/A,Adjusted_DRtg/A,Adjusted_NRtg/A
1,Oklahoma City Thunder,W,NW,40,12,0.769,12.31,119.53,107.36,12.17,11.67,119.34,107.81,11.54
2,Boston Celtics,E,A,33,18,0.647,7.33,121.36,113.58,7.78,6.2,121.04,114.42,6.62
3,Detroit Pistons,E,C,37,13,0.74,7.2,116.9,109.78,7.12,5.96,116.05,110.13,5.91
4,New York Knicks,E,A,33,18,0.647,6.06,120.41,114.16,6.26,5.31,120.3,114.82,5.47
5,San Antonio Spurs,W,SW,35,16,0.686,5.25,117.15,111.91,5.23,5.44,117.2,111.8,5.4
6,Houston Rockets,W,SW,31,19,0.62,5.12,118.44,113.15,5.3,4.65,118.36,113.52,4.84
7,Minnesota Timberwolves,W,NW,32,20,0.615,4.87,118.03,113.41,4.62,4.26,117.55,113.55,4.0
8,Cleveland Cavaliers,E,C,31,21,0.596,3.67,117.78,114.17,3.61,3.78,117.87,114.15,3.72
9,Denver Nuggets,W,NW,33,19,0.635,3.87,122.01,118.1,3.91,3.02,121.92,118.87,3.05
10,Phoenix Suns,W,P,31,21,0.596,2.35,115.93,113.48,2.45,2.46,115.86,113.31,2.55
11,Golden State Warriors,W,P,28,24,0.538,2.29,115.73,113.28,2.45,2.4,115.86,113.31,2.55
12,Miami Heat,E,SE,27,25,0.519,1.88,114.69,113.0,1.68,2.44,114.94,112.7,2.24
13,Charlotte Hornets,E,SE,24,28,0.462,1.92,117.8,115.71,2.09,1.34,117.44,115.98,1.46
14,Philadelphia 76ers,E,A,29,22,0.569,1.45,116.6,115.0,1.6,1.14,116.57,115.28,1.29
15,Toronto Raptors,E,A,31,22,0.585,1.58,114.83,113.38,1.45,1.35,114.59,113.35,1.24
16,Orlando Magic,E,SE,26,24,0.52,-0.48,114.62,115.28,-0.65,0.08,114.82,114.88,-0.06
17,Atlanta Hawks,E,SE,26,27,0.491,-0.79,114.53,115.29,-0.76,-0.48,114.59,115.03,-0.45
18,Los Angeles Clippers,W,P,23,27,0.46,-0.82,116.63,117.42,-0.79,-0.55,116.67,117.17,-0.5
19,Los Angeles Lakers,W,P,31,19,0.62,0.2,117.97,117.92,0.05,-0.37,117.66,118.17,-0.52
20,Portland Trail Blazers,W,NW,23,28,0.451,-2.86,113.89,116.66,-2.77,-1.74,114.49,116.14,-1.65
21,Memphis Grizzlies,W,SW,20,29,0.408,-1.69,113.59,115.26,-1.66,-1.73,113.48,115.2,-1.72
22,Dallas Mavericks,W,SW,19,32,0.373,-2.84,111.07,113.88,-2.81,-2.98,110.52,113.45,-2.94
23,Chicago Bulls,E,C,24,28,0.462,-3.23,114.79,118.05,-3.27,-3.61,114.64,118.31,-3.67
24,Milwaukee Bucks,E,C,20,29,0.408,-3.92,113.58,117.7,-4.12,-4.04,113.48,117.71,-4.23
25,New Orleans Pelicans,W,SW,13,40,0.245,-6.49,113.29,119.96,-6.67,-5.63,113.96,119.77,-5.81
26,Indiana Pacers,E,C,13,38,0.255,-7.73,109.8,117.42,-7.62,-6.91,110.12,116.92,-6.79
27,Utah Jazz,W,NW,16,36,0.308,-8.5,115.06,123.43,-8.37,-7.5,116.01,123.38,-7.36
28,Brooklyn Nets,E,A,13,37,0.26,-8.04,110.46,118.86,-8.4,-7.68,110.34,118.36,-8.01
29,Sacramento Kings,W,P,12,40,0.231,-10.08,110.61,120.69,-10.09,-8.74,111.1,119.83,-8.73
30,Washington Wizards,E,SE,14,36,0.28,-10.24,110.98,121.15,-10.16,-9.96,111.22,121.11,-9.89
